gene_id	chrom	start	end	number_of_cds	gene_name	name_alias
FBgn0085288	3L	2026991	2028326	2	CG34259	
FBgn0259701	3L	2037371	2038224	6	CG42355	CG32308;FBan0032308;FBgn0052308;CG32308
FBgn0086906	3L	2039681	2115611	143	sls	FBgn0003432;FBgn0002186;FBgn0010396;FBgn0010850;FBgn0011512;FBgn0015898;FBgn0020409;FBgn0024279;FBgn0035301;FBgn0035302;FBgn0042183;FBgn0028238;Ket;D-Titin;Kettin;kettin;Dtitin;CG18242;Titin;CG1915;sal;D-titin;titin;CT41299;l(3)dre8;l(3)rL182;l(3)j1D7;sam;l(3)62Ca;l(3)Ca;l(3)S002001;0020/01;lethal(3)62Ca;Mitotic Chromosomal Protein;lethal (3) S002001;anon-CREST;MCP;CG18857;CG18245;Sallimus;ket;Sls;Salimus;D-titin-KZ;KZ;SLS;d-titin;salimus;TITIN;D-Titin/Kettin;D-titan
FBgn0052311	3L	2117466	2151700	40	zormin	CG32310;FBan0032310;FBan0032307;CG32307;FBgn0035303;FBgn0035304;FBgn0035305;FBgn0035306;FBgn0035307;FBgn0052307;FBgn0052309;FBgn0052310;FBgn0053484;FBgn0062502;CG5699;CT36990;D-Titin;CG32311;CG32310;CG32307;CG32309;CG11952;CG11953;CG1282;CG11850;CG33484;BcDNA:GH09541;D-titin;titin;Zormin
FBgn0035308	3L	2153201	2163863	28	CG15822	
FBgn0035309	3L	2167550	2169108	2	CG15879	
FBgn0026570	3L	2169553	2170971	4	CG5704	FBgn0035310;LD30049;BEST:LD30049
FBgn0035312	3L	2172995	2174332	2	CG15820	FBgn0062888;BcDNA:SD08776
FBgn0035313	3L	2185930	2187676	3	CG13810	
FBgn0026593	3L	2189160	2192221	6	CG5707	FBgn0035314;HL03644;BEST:HL03644
FBgn0035315	3L	2197013	2198089	2	CG8960	
FBgn0035316	3L	2210873	2212503	1	CG15878	15878
FBgn0035317	3L	2229646	2235253	5	Oseg2	CG13809;IFT172;Oseg2;OSEG2;OSEG;OSM-1;selective LIM binding factor;oseg2;osm-1
FBgn0035318	3L	2235284	2237076	5	CG9018	FBgn0035318
FBgn0040507	3L	2237608	2243719	12	ACXD	FBgn0035319;CG5712;AC;DACXD;ACXD
FBgn0052301	3L	2244478	2248614	21	CG32301	FBgn0035320;CG8970;AC
FBgn0052305	3L	2248635	2252729	12	CG32305	FBgn0035320;CG8970;AC
FBgn0035321	3L	2252744	2257423	10	CG1275	FBgn0062138;anon-WO0118547.260;Cyt-b561-1;cytochrome [[b561-1]];DcytB-like
FBgn0015359	3L	2257456	2258922	6	CG2034	anon-i1
FBgn0015360	3L	2258839	2262664	3	oxt	FBgn0035322;FBgn0052300;CG17771;CG17772;anon-i2;CG32300;Oxt;O-xylosyltransferase;OXT;Drosophila peptide O-xylosyltransferase;dOXT;Peptide-o-xylosyltransferase;dXylT;Peptide-O-xylosyl-transferase
FBgn0035323	3L	2262919	2263615	2	CG13807	
FBgn0000543	3L	2263581	2265857	2	ecd	FBgn0035324;CG5714;ecd1;l(3)ecd;l(3)ecd1;ecdl;ecd-1;l(3)ecd-1;l(3)62Db;ecdysone;Ecdysoneless
FBgn0035325	3L	2266394	2267640	2	CG13806	
FBgn0052302	3L	2268825	2269903	1	CG32302	FBgn0035326;CG13805
FBgn0264002	3L	2282883	2300944	9	MsR2	CG13802;FBgn0035330;CG13803;FBgn0035329;FBgn0046578;FBgn0046579;DmsR-2;CG43745;CG13802;DmsR;CG13803;DMSR-2;anon-WO0170980.161;anon-WO0170980.160;Dm CG13803;DMS-receptor2;Dromyosuppressin receptor 2;DMS-R2;MS-R
FBgn0035331	3L	2322693	2345799	6	MsR1	FBgn0046618;FBgn0046619;CG8985;DMSR-1;anon-WO0170980.107;anon-WO0170980.106;Dromyosuppressin receptor 1;DmsR-1;Dm CG8985;DmsR;DMS-receptor1;DMS-R1;MS-R
FBgn0035332	3L	2360557	2362686	1	CG13801	
FBgn0035333	3L	2367843	2371939	5	CG1317	
FBgn0035334	3L	2372199	2372876	2	CG8993	thioredoxin;8993
FBgn0035335	3L	2372844	2373704	5	mRpL23	FBgn0047103;L23;CG1320;BcDNA:RE49852
FBgn0035336	3L	2373728	2376488	2	CG9004	
FBgn0035337	3L	2376484	2377556	2	CG15877	
FBgn0266696	3L	2377655	2499226	189	Svil	CG33231;CG32306;CG42669;FBgn0261551;FBgn0052306;FBgn0035339;FBgn0035340;FBgn0035341;FBgn0035342;FBgn0040693;FBgn0053231;CG33232;FBgn0035347;FBgn0035345;FBgn0053232;CG13800;FBgn0035338;CG42669;CG32306;CG13798;CG13797;CG16763;CG13799;CG12790;CG45186;CG33231;CG33232;villin-like;CG1141;c62E-11;CG16764;Villin-like;CG13800;Svil;supervillin
FBgn0261858	3L	2389265	2389650	1	Mzt1	MOZART1;Mzt1;Mitotic spindle OrganiZing protein Associated with a Ring of g-Tubulin;Mozart1;CG42787;mzt1
FBgn0052298	3L	2389583	2390989	2	CG32298	FBgn0045346;NEST:bs10a03
FBgn0052299	3L	2389583	2390989	4	CG32299	FBgn0045244;FBgn0047328;NEST:bs19a11;BcDNA:AT26229
FBgn0035343	3L	2474667	2475614	2	CG16762	
FBgn0035344	3L	2476259	2478448	5	Cyp4d20	4d20;CG16761;RH59895;CYP4d20
FBgn0035346	3L	2488804	2492613	3	CG1146	
FBgn0035348	3L	2499372	2503606	13	CG16758	FBgn0035349;c62E-15;CG16760
FBgn0010905	3L	2505245	2554292	59	Spn	FBgn0045360;FBgn0045813;FBgn0052295;FBgn0024370;FBgn0035350;FBgn0063195;d-spinophilin;c62E-5;EL62;l(3)06911;E62;CG16757;BcDNA:GM16129;spn;SPINOPHILIN
FBgn0260480	3L	2525799	2526973	1	CG32295	FBgn0045360;FBgn0045813;FBgn0052295;CG16757;NEST:bs09a12;BEST:GH20547
FBgn0010909	3L	2554847	2586540	111	msn	FBgn0010797;FBgn0024520;FBgn0035351;Mishappen;MSN;Msn;DMSN;NIK;CG16973;MESR5;l(3)6286;msm;6286;l(3)06946;l(3)j1E2;l(3)03349;Nik;Misshapen;HGK;JNKKKK;mishappen
FBgn0261602	3L	2587456	2588883	3	RpL8	FBgn0024939;FBgn0027679;FBgn0035352;FBgn0069397;FBgn0002611;CG1263;M(3)62F;L8;rpL8;anon-EST:Posey5;M(3)LS2;Minute(3)62F;Rp L8;RPL8;ribosomal protein L8
FBgn0016794	3L	2589414	2595590	13	dos	141511_at;Dos;DOS;Su(sev)3A;E(csw)3A;Suppressor of sevenless-S11;Su(sev[S11])3A;Enhancer of corkscrew-CS;E(csw[CS])3A;CG1044;EC3-4;Daughter of Sevenless;Gab-1;Daughter of sevenless
FBgn0062517	3L	2595781	2596998	2	CG16984	FBgn0035354;BcDNA:AT01695
FBgn0028504	3L	2595842	2599579	8	CG12182	BcDNA:GH02340
FBgn0035355	3L	2599297	2600242	4	CG16985	FBgn0047125;BcDNA:RE30174
FBgn0035356	3L	2600331	2601536	4	CG16986	
FBgn0011828	3L	2601455	2630064	29	Pxn	peroxidasin;Protein X;CG12002;pxn;Dpxn;CT1239;peroxydasin;DmPxd-a
FBgn0250911	3L	2631715	2641984	3	CG42245	
FBgn0035358	3L	2642184	2643424	2	CG14949	
FBgn0035359	3L	2645368	2647192	4	CG1143	
FBgn0035360	3L	2648048	2650205	15	CG1246	
FBgn0259199	3L	2652088	2655455	1	Snup	FBgn0035362;FBgn0035363;CG32297;FBan0032297;FBgn0052297;CG42303;CG1247;CG32297;dSNUP
FBgn0259200	3L	2652088	2655455	6	CG42304	FBgn0035362;FBgn0035363;CG32297;FBan0032297;FBgn0052297;CG1248;CG32297
FBgn0264606	3L	2655415	2711690	40	Fife	CG43375;CG16976;FBgn0035366;FBgn0027741;CG12187;FBgn0035367;FBgn0263177;CG14950;FBgn0035364;CG43375;CG12187;CG16976;CG14950;fife;CG43955;anon-EST:Posey171
FBgn0053233	3L	2659639	2661501	6	CG33233	FBgn0035365;CG12036
FBgn0053234	3L	2661622	2663622	18	CG33234	FBgn0035365;CG12036
FBgn0052296	3L	2717615	2766536	13	Mrtf	FBgn0035368;FBgn0035369;DMRTF;mal-d;CG32296;CG12188;CG14951;Mal-D;MAL-D;MRTF;dMrtf;dMRTF;mal;myocardin-related transcription factor
FBgn0020509	3L	2739750	2740228	1	Acp62F	CT2528;CG1262;Accessory gland protein 62F;Acp62;Acp62f;Accessory gland peptide 62F
FBgn0035370	3L	2766999	2768392	1	Non2	CG1240;Non2
FBgn0035371	3L	2768466	2772325	3	AhcyL1	CG9977;dAhcyL1
FBgn0035372	3L	2772560	2774007	3	CG12093	
FBgn0044452	3L	2774338	2780677	1	Atg2	FBgn0035373;ATG2;CG1241;EP3697;Autophagy-specific gene 2;atg2
FBgn0035374	3L	2780899	2782105	2	mRpS35	MRP-S28;CG2101
FBgn0035375	3L	2782255	2786010	3	Pgant6	CG2103;Pgant6;Polypeptide GalNAc transferase 6;polypeptide GalNAc transferase 6;pgant6
FBgn0263392	3L	2786207	2879158	38	Tet	CG2083;FBgn0035376;CG9973;FBgn0035378;CG43444;CG2083;CG9973;Idax;dTet;TET Family Protein;DMAD;DNA 6mA demethylase;dTET;DNA 6mA
FBgn0035379	3L	2883641	2892166	5	spz5	CG9972;Spz5;DNT2;CT28115;NT2;Spz-5;Neurotrophin 2;spatzle5
FBgn0262593	3L	2895017	2959579	44	Shab	CG1066;FBgn0003383;CG9965;FBgn0035381;CG43128;shab;dShab;CG1066;Kv2;CG9965;shb;Shaker;K[[v]]2
FBgn0035380	3L	2915024	2916654	1	CG9970	
FBgn0052846	3L	2950174	2951618	5	CG32846	
FBgn0054025	3L	2959722	2961049	3	CG34025	FBgn0082658;BP1082;HDC08169
FBgn0035382	3L	2961534	2963788	14	Or63a	63a;DOR28;63B.1;CG9969
FBgn0035383	3L	2981022	2983551	3	CPT2	CG2107;SD01848p;dCPT2;carnitine palmitoyltransferase 2;cpt
FBgn0035384	3L	2995172	2996155	3	CG2113	FBgn0063320;BcDNA:AT18037
FBgn0035385	3L	3001716	3011860	3	FMRFaR	CG2114;FMRFaR;DrmFMRFa-R;larval-opioid-receptor;Fmrf Receptor;FR;Fmrf receptor;dFMRFa receptor;FMRFa-receptor;Dm FMRFa-R;FMRFa-R;FMRFamide receptor;DmFR
FBgn0052488	3L	3014761	3016069	4	CG32488	FBgn0035386;CG2077;Phos32488;20151345
FBgn0052487	3L	3016150	3017256	2	CG32487	FBgn0035386;CG2077;Phos32487;24656330
FBgn0004372	3L	3024129	3026521	6	aly	FBgn0013662;FBgn0014354;FBgn0035387;143450_at;CG2075;ms(3)ry2;ms(3)2;Aly;Always early;tMAC
FBgn0035388	3L	3035196	3040469	23	CG2162	FBgn0027742;anon-EST:Posey170
FBgn0040308	3L	3042359	3044174	8	Jafrac2	FBgn0035389;jafrac2;thioredoxin peroxidase;CG1274;Peroxiredoxin 4156;DPx4156;Prx4156;thioredoxin peroxidase 2;Jafrac-2;thioredoxin peroxidase 2 isoform A;DPx-4156;1274;JafRac2;dPrx4;Prx4;peroxiredoxin 4;Jafrac;Jafrac2
FBgn0035390	3L	3044113	3046812	4	scramb2	CG1893;Scramb2;Scramblase
FBgn0052484	3L	3047087	3050159	2	Sk2	FBgn0035391;CG32484;Sphingosine kinase II;CG2159;sphingosine kinase;Sphk2;SK2;sphingosine kinase 2;sk2;SphK2
FBgn0052485	3L	3050323	3051765	2	CG32485	FBgn0035391;CG2159
FBgn0035392	3L	3052514	3054906	15	CG1271	
FBgn0035393	3L	3055079	3055842	1	CG16753	
FBgn0266918	3L	3055908	3070839	8	CG32486	FBgn0052486;FBgn0035394;FBgn0035395;FBgn0062132;FBgn0065142;CG16745;CG14954;anon-WO0118547.267;lethal (3) SH095;l(3)SH095;l(2)SH3 095
FBgn0035397	3L	3071133	3090406	130	CG11486	PAN3;polyA-nuclease related
FBgn0035398	3L	3090985	3106958	8	Cht7	CG1869;DmCHT7;DmCht7;Cht7
FBgn0266436	3L	3110128	3111227	2	CG45066	FBgn0035399;CG14955
FBgn0266437	3L	3111233	3114467	8	CG45067	FBgn0035399;CG14955
FBgn0035400	3L	3128034	3143457	45	CG11537	
FBgn0035401	3L	3143808	3145284	1	Alg2	CG1291;Alg2;dAlg2;A-1,3/A-1,6-mannosyltransferase
FBgn0035402	3L	3145405	3148358	5	Usp5	CG12082;DmUsp5;isopeptidase T;Isopeptidase T;leon;USP5;Q9VZU7;usp5;DmUSP5
FBgn0263108	3L	3148646	3158408	29	BtbVII	CG11494;FBgn0012049;CG14956;FBgn0035403;FBgn0062503;CG43365;BTB protein VII;BTB-VII;CG11494;BcDNA:GH07729;CG14956;BTBVII
FBgn0035405	3L	3159991	3162019	3	CG15812	CG15812;Pfk;piefke;pfk
FBgn0024194	3L	3162180	3163852	1	rasp	FBgn0002450;FBgn0004562;FBgn0005227;FBgn0035406;FBgn0044333;ski;sightless;skinny hedgehog;Rasp;sit;l(3)63Bg;CG11495;central missing;cmn;ski/sit;sig/ski;rsp;l(3)SG3;l(3)m47;lethal(3)SG3;lethal(3)63Bg;l(3)M47;7F21;cnm;RASP;Ski;Sightless
FBgn0035407	3L	3163786	3166250	2	Asciz	dASCIZ;CG14962;CC15;ASCIZ homolog;Digitor
FBgn0052280	3L	3165181	3169080	6	CG32280	FBgn0047260;BcDNA:GM08588
FBgn0052278	3L	3169286	3171767	2	CG32278	FBgn0035408;CG12032
FBgn0052281	3L	3169375	3170913	1	CG32281	FBgn0035408;CG12032
FBgn0035409	3L	3171614	3172545	1	CG14963	
FBgn0035410	3L	3172817	3178580	4	CG14964	CT34810
FBgn0283724	3L	3178930	3185287	44	Girdin	FBgn0035411;FBgn0043881;CG12734;mecA;dGirdin;mechanosensory A
FBgn0260026	3L	3184404	3186549	11	CG42494	
FBgn0052284	3L	3186664	3187245	3	CG32284	FBgn0063124;BcDNA:LP03531
FBgn0035412	3L	3187563	3188106	3	CG14957	
FBgn0260430	3L	3188025	3189747	10	CG42525	
FBgn0035413	3L	3189978	3190623	2	CG14958	
FBgn0035414	3L	3190622	3192491	1	CG14965	FBgn0019884;dmLD47616p;ORF1;63BC-T3;anon-63BC-T3
FBgn0001233	3L	3192969	3197059	1	Hsp83	FBgn0004639;FBgn0010233;FBgn0011792;FBgn0016742;FBgn0024852;FBgn0044664;143198_at;hsp83;Hsp90;hsp90;Hsp82;HSP82;HSP90;CG1242;anon-WO0068693;en(lz)3C/4C;hsp82;ORF1;ms(3)08445;DMHSP82;clone 2.53;E(sina)2;l(3)j5C2;HSP83;Enhancer of seven in absentia 2;E(sev)3A;hsp84;83;83K HSP;scratch;Enhancer of sevenless 3A;stc;anon-EST:Liang-2.53;Su(Raf)3A;anon-WO0140519.209;heat shock protein 83;heat-shock protein 90 kDa;P02828;HSP90A1;DmHsp83
FBgn0035415	3L	3197045	3197631	1	CG14966	
FBgn0047135	3L	3197863	3199047	4	CG32276	FBgn0052276;BcDNA:RE27904
FBgn0286567	3L	3199090	3211348	10	gry	FBgn0002193;FBgn0035416;TRAPPC11;lethal (3) 63Bd;l(3)63Bd;CG17569;Gryzun
FBgn0052271	3L	3202238	3203162	1	CG32271	FBgn0035417;SP176;CG11532
FBgn0053159	3L	3203675	3204448	1	CG33159	FBgn0035417;SP176;CG11532
FBgn0052277	3L	3204600	3205449	1	CG32277	FBgn0035418;SP183;CG11531
FBgn0053160	3L	3205539	3206363	1	CG33160	FBgn0035418;SP183;CG11531
FBgn0052269	3L	3206949	3208985	2	CG32269	CG33161;FBgn0035419;FBgn0053161;FBtr0073100;FBpp0072962;FBtr0073101;FBpp0072963;SP124;CG33161;CG11530
FBgn0052270	3L	3206949	3208985	1	CG32270	CG33161;FBgn0035419;FBgn0053161;FBtr0073100;FBpp0072962;FBtr0073101;FBpp0072963;SP124;CG33161;CG11530
FBgn0035420	3L	3210992	3218920	11	hob	CG14967;sP2
FBgn0035421	3L	3219156	3220925	2	nSMase	nSMase;CG12034;neutral-sphingomyelinase
FBgn0035422	3L	3220911	3222960	9	RpL28	FBgn0062095;FBgn0063278;CG12740;L28;BcDNA:GH04183;anon-WO0118547.321;putativeribosomal L28e protein;60 S ribosomal protein L28;GH04183p;chr3L:3205394..3205484
FBgn0035423	3L	3223341	3224650	3	eIF1	FBgn0025534;FBgn0062453;anon-EST:Posey272;BcDNA:RE14985;CG17737;dEIF1
FBgn0035424	3L	3224838	3236604	16	Larp4B	CG11505;larp4B
FBgn0035425	3L	3236805	3239578	6	CG17746	PP2C;Protein Phosphatase 2C;Cg17746
FBgn0035426	3L	3243274	3244294	3	CG12078	CG12078-RA;CG12078-PA;24656659
FBgn0263246	3L	3248015	3249044	1	CG43389	
FBgn0035427	3L	3257878	3268184	12	ckd	FBgn0062428;FBgn0062642;FBgn0062665;ckd;cracked;EP(2)3139;EP(3)0714;EP714;EP3139;BcDNA:RH52423;CG14959;CKD
FBgn0085294	3L	3268461	3268994	2	CG34265	
FBgn0035428	3L	3271036	3276255	3	CG14960	
FBgn0035429	3L	3280239	3290896	17	CG12017	
FBgn0035430	3L	3291459	3299000	5	CG12009	
FBgn0035431	3L	3299336	3303112	8	CG14968	FBgn0043957;FBgn0043958;FBgn0043960;anon-WO0107627.3;anon-WO0107627.2;anon-WO0107627.1
FBgn0035432	3L	3303708	3314009	13	ZnT63C	CG17723;dZnT63C;ZnT1;dZnT1;cg17723;dZNT63C;dZNT1;ZNT63C
FBgn0052279	3L	3314349	3314681	1	Drsl2	FBgn0035433;Dro2;CT30310;drosomycin-D;Dro-D;CG10813;CG32279;drosomycin-2;Drs-lD;Drosomycin-like D;dro2;Drosomycin-2;dmy2;drosomycin;Drosomycin 2;dro-2
FBgn0052283	3L	3314996	3315355	1	Drsl3	FBgn0035433;Dro3;CT30310;drosomycin-E;Dro-3;CG10813;CG32283;Drs-lE;Drosomycin-like E;Drosomycin-3;drosomycin;dro3;Drosomycin 3;Drosomycin3;drosomycin-3;Dromycin-like peptides 3
FBgn0052282	3L	3315620	3315942	1	Drsl4	Dro4;drosomycin-F;Dro-4;CG32282;Drs-lF;Drosomycin-like F;Drosomycin-4;dros4;drosomycin-4;drosomycin;Drosomycin 4;dro4;dro-4;drosmycin-4
FBgn0035434	3L	3316781	3317144	1	Drsl5	FBgn0063260;Dro5;Drosomycin B;CG10812;drosomycin-G;Dro-G;BcDNA:GH09576;Drs-lG;Drosomycin-like G;dro5;Drosomycin-5;dmy5;drosomycin;Drosomycin 5;drosomycin-5;drosmycin-5
FBgn0035436	3L	3319555	3322489	2	CG12016	Dromel_CG12016_FBtr0073063_mORF
FBgn0259933	3L	3319555	3322489	2	CG42456	Dromel_CG12016_FBtr0073063_uORF
FBgn0035437	3L	3322025	3328871	6	Strip	CG11526;Striatin interacting protein;strip;Striatin interacting protein ortholog
FBgn0035438	3L	3326265	3328626	6	PHGPx	FBgn0063799;CG12013;DmPHGPx;anon-WO0257455.17;GTPx-1;glutathione peroxidase I;GPx;DmGPx;Glutathione Peroxidase;glutathione peroxidase;PGTPx;Gtpx-1;GTPx;phGpx;Tpx1;Gpx;PHGPx with glutathione peroxidase activity
FBgn0035439	3L	3330063	3333181	2	CG14961	
FBgn0035440	3L	3333119	3334978	4	CG14969	
FBgn0052274	3L	3335579	3335788	1	Drsl1	FBgn0035441;Dro1;CG11520;Dro-1;drosomycin-H;drosomycin-1b;Dro-H;dro1b;CG32274;Drs-lC;Drosomycin-like C;Drosomycin-1;drosomycin;Drs-I;drosomycin-1;Drs-l;Drosomycin-like;Drs-like
FBgn0052268	3L	3336032	3336418	1	Drsl6	FBgn0035441;FBgn0035442;Dro6;CG11520;drosomycin-I;Dro-I;CG10815;CG32268;Drs-lI;Drosomycin-like I;Drosomycin-6;drosomycin;Drosomycin 6;drosomycin-6;dro6
FBgn0004167	3L	3336860	3368133	72	kst	FBgn0010743;betaH-Spec;betaH-Spectrin;beta[[H]];beta[[Heavy]]-spectrin;beta[[H]]-spectrin;spectrin;beta-H spectrin;beta[[Heavy]]-Spectrin;betaheavy-spectrin;betaHeavy-Spectrin;betaH-spectrin;beta-heavy-spectrin;betaHeavy-spectrin;beta[[H]] spectrin;Spectrin beta-heavy chain;beta[[H]]-SPEC;beta[[heavy]]spectrin;beta[[H]]-Spectrin;betaH;beta[[heavy]]-Spectrin;CG12008;beta[[H]]spectrin;beta[[Heavy]]spectrin;beta[[(HEAVY)]]-spectrin;beta[[heavy]]-Spec;Spectrin-beta[[H]];l(3)01318;Spec-beta[[H]];b[Heavy]-spectrin;betah-Spec;betaHS;beta-Heavy spectrin;Spectrin;betaHeavy--spectrin;Kst;beta[[H]]-Spec;Karst;beta[[H]]-Sp;beta-Spectrin;betaHSpec;beta-heavy Spectrin
FBgn0283461	3L	3369556	3369942	1	Drs	FBgn0010381;FBgn0063123;FBgn0067901;drosomycin;dros;CG10810;DIM 19;DIM 21;drs;drom;Drom;cysteine-rich peptide;DRS;DRO;DROM;drsm;Drosophila Immune induced molecule 19;Cysteine-rich-protein;Crp;BcDNA:LP03851;Dros;drm;Drm;Droso;Drosomcycin;dmy1;Drosomyocin;drosomyci;Drosomycin precursor;Drosomycin-B;DROS;Drosomycine;Drosomysin;drosomyocin;Immune induced molecule 21;IM21;Drosomycin;Diptericin
FBgn0027616	3L	3370451	3374170	5	Ythdc1	dYT521-B;CG12076;BcDNA:GH01918;YT521;YT521-B
FBgn0035443	3L	3374282	3376649	3	CG12010	
FBgn0035444	3L	3376757	3377992	5	CG12012	
FBgn0035445	3L	3378268	3380083	4	Ids	FBgn0027697;anon-EST:Posey282;CG12014;IDS
FBgn0014388	3L	3401153	3424935	2	sty	Sprouty;dSprouty;Spry;spry;Calcineurin suppressor, chromosome 3, group 3;CS3-3;Sry;Sty;dSPRY;sprouty;CG1921;STY
FBgn0026259	3L	3428658	3460977	34	eIF5B	FBgn0035446;FBgn0035447;FBgn0062068;cIF2;IF2;dIF2;CG10840;yIF2;cytoplasmic Initiation Factor 2;A1;CG14970;anon-WO0118547.362;Eif5b;eukaryotic initiation factor 5B;eIF5B
FBgn0041164	3L	3461317	3466303	13	armi	FBgn0035448;CG11513;Armitage;Armi;ARMI;APC16
FBgn0010317	3L	3466428	3468098	5	CycJ	cyclinJ;cycJ;Cdi5;CDI5;Cyclin-dependent kinase interactor 5;cdi5;CG10308;cyclin J
FBgn0035449	3L	3468023	3471309	3	CG14971	
FBgn0052267	3L	3471555	3472113	2	CG32267	
FBgn0259224	3L	3472447	3510895	20	CG42324	FBgn0035450;FBgn0035451;CG14973;CG14972;CG14972;CG14973
FBgn0262484	3L	3483832	3484653	3	CG43074	
FBgn0001254	3L	3510974	3512681	1	ImpE2	IMP-E2;Imp-E2;CG1934
FBgn0005640	3L	3515751	3610521	61	Eip63E	FBgn0016695;FBgn0024942;PFTAIRE;Pftaire;cdc2-63E;L63;CG10579;EIP63E
FBgn0035452	3L	3612192	3615244	10	CG10359	Fibronogen-like;AAF47782;FBpp0072995;Fibrinogen-related protein
FBgn0035453	3L	3615382	3616682	4	CG10357	
FBgn0040694	3L	3620433	3621032	6	CG14974	
FBgn0263239	3L	3626352	3653442	6	dar1	FBgn0035454;FBgn0259102;FBgn0016005;Dar1;CG12029;l(3)SH5;lethal (3) 63Ed;l(3)63Ed
FBgn0035455	3L	3653405	3654771	2	CG10862	
FBgn0262544	3L	3659068	3659724	1	CG43098	chr3L_3658997_3659727.0
FBgn0262535	3L	3714027	3714717	2	CG43089	lincRNA.427
FBgn0052264	3L	3714826	3806459	53	CG32264	FBgn0035456;FBgn0035457;FBgn0035459;FBgn0035460;CG14978;CG10860;CG12604;CG10857
FBgn0035458	3L	3753693	3755201	3	ppk27	CG10858;ppk27;pickpocket 27
FBgn0052266	3L	3790804	3791560	2	CG32266	FBgn0063187;BcDNA:GM24338
FBgn0035461	3L	3803832	3806459	2	ntc	CG10855;nutcracker;FBXO7
FBgn0035462	3L	3806710	3809090	3	IntS10	Int10;CG1120
FBgn0052262	3L	3809146	3810196	1	CG32262	FBgn0035463;CG10854
FBgn0052263	3L	3810312	3811114	1	CG32263	FBgn0035463;CG10854
FBgn0004888	3L	3814211	3818383	5	Scsalpha1	scsalpha;succinyl-CoA synthetase alpha-subunit;Scsalpha;CG1065;Succinyl coenzyme A synthetase alpha subunit;Scs-alpha;Succinyl coenzyme A synthatase, alpha subunit;succinyl coenzyme A synthetase alpha subunit;Scsa;succinyl CoA synthetase
FBgn0015585	3L	3815839	3816354	6	Acp63F	Acp63f;CG10852;Acp63F/64A;acp63F;Accessory gland protein 63F;Acp63;Accessory gland peptide 63F
FBgn0004875	3L	3818679	3842326	60	enc	FBgn0014170;FBgn0035466;fs(3)63F-64A;CG10847;BB129;Encore;Enc
FBgn0064227	3L	3825449	3828525	1	Rdh	FBgn0035465;CG14975;Red-herring;Rdh
FBgn0013751	3L	3846206	3861692	20	Awh	FBgn0002195;arrowhead;l(3)63Ea;l(3)63Ea/Awh;l(3)64Ea;l63Ea;l(3)SH9;lethal(3)63Ea;CG1072;awh
FBgn0026592	3L	3892574	3894833	8	Fie	FBgn0035467;HL04053;BEST:HL04053;CG1079;fire exit
FBgn0035468	3L	3894999	3896603	3	Gr63a	Gustatory receptor 63F1;Gr63F1;CG14979;DmGr63a;GR63a;gr63a
FBgn0035469	3L	3896900	3897498	4	CG14977	FBgn0061380;BcDNA:RH34338;dC7orf59
FBgn0035470	3L	3897444	3899156	4	Ccz1	CG14980;Dccz1;C7orf28B;NP_647835;Ccz1 ortholog
FBgn0035471	3L	3903492	3905035	4	Sc2	FBgn0002196;FBgn0010871;dSc2;Ubiquitin-63E;l(3)05634;l(3)63Eb;l(3)SH4;lethal(3)63Eb;CG10849;Ter[CG10849];SC2
FBgn0041147	3L	3905344	3907813	2	ida	FBgn0016008;FBgn0035472;CG10850;APC5;l(3)63Fb;l(3)SH7;IDA;Apc5;Imaginal discs arrested;Ida
FBgn0035473	3L	3907852	3909931	7	mge	FBgn0016009;FBgn0063105;l(3)63Fc;l(3)SH3;CG14981;BcDNA:LP07226
FBgn0035475	3L	3936060	3937992	3	CG10866	
FBgn0035476	3L	3938624	3940125	6	CG12766	
FBgn0027552	3L	3941008	3942465	6	CG10863	BcDNA:GH10614;dm1/AKR2E3
FBgn0035477	3L	3942710	3947278	6	CG14982	
FBgn0035478	3L	3947891	3948687	4	CG10853	FBgn0061412;BcDNA:LP09837
FBgn0035479	3L	3948699	3949305	1	CG14983	
FBgn0035480	3L	3951193	3952550	6	CG14984	
FBgn0035481	3L	3954251	3964771	7	CG12605	FBgn0044532;anon-WO0140519.93
FBgn0264516	3L	3972899	3973784	1	CG43915	
FBgn0004880	3L	3983896	3994003	4	scrt	FBgn0064785;FBgn0066002;clone 1.67;clone 1.31;anon-EST:Liang-1.67;anon-EST:Liang-1.31;CG1130;BcDNA:RH71479;anon-WO02059370.57;Scrt;Scratch;lincRNA.S4061
FBgn0035482	3L	4003474	4006626	4	CG14985	
FBgn0004895	3L	4018878	4021279	6	FoxL1	Dmfd2;FD2;fd2;CG1132;FoxL1;fd64A;Fd64A;foxL1;forkhead domain 64A
FBgn0035483	3L	4021457	4023501	8	Mul1	CG1134;MUL1;Mitochondrial E3 ubiquitin protein ligase 1 homologue;mul1
FBgn0035484	3L	4022700	4026011	16	CG11594	
FBgn0045479	3L	4026769	4028600	7	Gr64a	FBgn0035485;FBgn0041217;FBgn0052261;GrLU3;Gr64A1;CG14986;Gustatory receptor LU.3;LU.3;GRLU.3;CG32261;Dmel64a;Gr64;GR64a
FBgn0045477	3L	4028605	4032032	10	Gr64c	FBgn0035485;FBgn0052256;FBgn0063609;CG14986;CG32256;Dmel64c;Gr64;GR64c;gr64c
