CDS_name	CDS_loc	length	gene_name
kcc-PB	2R:join(23911461..23911551,23911677..23911868,23912188..23912321,23912384..23912466,23912532..23912634,23912729..23912834,23912897..23913026,23913086..23913204,23913268..23913486,23913542..23913698,23913758..23914017,23914079..23914331,23921965..23922327,23922392..23922578,23922641..23922856,23922922..23923029,23924416..23924549,23924616..23924755,23924818..23924909);	3087	kcc
kcc-PC	2R:join(23911461..23911551,23911677..23911868,23912188..23912321,23912384..23912466,23912532..23912634,23912729..23912834,23912897..23913026,23913086..23913204,23913268..23913486,23913542..23913698,23913758..23914017,23914079..23914331,23921965..23922327,23922392..23922578,23922641..23922856,23922922..23923029,23924002..23924094,23924416..23924549,23924616..23924755,23924818..23924909);	3180	kcc
Dhc64C-PC	3L:complement(join(4807667..4807832,4807892..4811490,4811552..4811669,4812894..4813089,4813328..4815436,4815493..4816645,4816987..4821042,4821111..4821266,4821864..4821969,4822023..4822626,4822690..4823524,4823587..4824161,4825328..4825571));	13917	Dhc64C
Dhc64C-PA	3L:complement(join(4807667..4807832,4807892..4811490,4811552..4811669,4812057..4812255,4813328..4815436,4815493..4816645,4816987..4821042,4821111..4821266,4821864..4821969,4822023..4822626,4822690..4823524,4823587..4824161,4825328..4825571));	13920	Dhc64C
Dhc64C-PD	3L:complement(join(4807667..4807832,4807892..4811490,4811552..4811669,4812894..4813089,4813328..4815436,4815493..4816645,4816987..4821042,4821111..4821266,4821428..4821466,4821864..4821969,4822023..4822626,4822690..4823524,4823587..4824161,4825328..4825571));	13956	Dhc64C
Dhc64C-PE	3L:complement(join(4807667..4807832,4807892..4811490,4811552..4811669,4812894..4813089,4813328..4815436,4815493..4816645,4816705..4816731,4816987..4821042,4821111..4821266,4821864..4821969,4822023..4822626,4822690..4823524,4823587..4824161,4825328..4825571));	13944	Dhc64C
Dhc64C-PF	3L:complement(join(4807667..4807832,4807892..4811490,4811552..4811669,4812057..4812255,4813328..4815436,4815493..4816645,4816987..4821042,4821111..4821266,4821428..4821466,4821864..4821969,4822023..4822626,4822690..4823524,4823587..4824161,4825328..4825571));	13959	Dhc64C
Dhc64C-PG	3L:complement(join(4807667..4807832,4807892..4811490,4811552..4811669,4812057..4812255,4813328..4815436,4815493..4816645,4816705..4816731,4816987..4821042,4821111..4821266,4821864..4821969,4822023..4822626,4822690..4823524,4823587..4824161,4825328..4825571));	13947	Dhc64C
Dhc64C-PH	3L:complement(join(4807667..4807832,4807892..4811490,4811552..4811669,4812894..4813089,4813328..4815436,4815493..4816645,4816705..4816731,4816987..4821042,4821111..4821266,4821428..4821466,4821864..4821969,4822023..4822626,4822690..4823524,4823587..4824161,4825328..4825571));	13983	Dhc64C
Dhc64C-PI	3L:complement(join(4807667..4807832,4807892..4811490,4811552..4811669,4812057..4812255,4813328..4815436,4815493..4816645,4816705..4816731,4816987..4821042,4821111..4821266,4821428..4821466,4821864..4821969,4822023..4822626,4822690..4823524,4823587..4824161,4825328..4825571));	13986	Dhc64C
dsx-c73A-PB	3L:complement(join(16423387..16424099,16424168..16424318,16426577..16426655,16426767..16426915,16450147..16451613));	2559	dsx
LanB1-PA	2L:join(7814948..7817656,7817733..7820390);	5367	LanB1
CG42747-PC	3L:join(6461666..6462050,6476543..6476645,6480295..6480317,6484231..6484562,6484685..6485056);	1215	CG42747
CG42748-PJ	2L:join(22140824..22140971,22141595..22141768,22141834..22144280,22145671..22146996,22154798..22155408,22156621..22156815,22158492..22158744);	5154	CG42748
CG42748-PK	2L:join(22140824..22140971,22141595..22141768,22141831..22144280,22145671..22146996,22154798..22155408,22156621..22156815,22158513..22158721,22160190..22160339,22161678..22162987);	6573	CG42748
CG42748-PL	2L:join(22153695..22153706,22154798..22155408,22156621..22156815,22158513..22158721,22160208..22160339,22161678..22162987);	2469	CG42748
CG42748-PM	2L:join(22140824..22140971,22141595..22141768,22141834..22144280,22145671..22146996,22154798..22155408,22156621..22156815,22157023..22157032);	4911	CG42748
CG42748-PB	2L:join(22140824..22140971,22141595..22141768,22141834..22144280,22145671..22146996,22154798..22155408,22156621..22156815,22158513..22158744);	5133	CG42748
CG42748-PD	2L:join(22140824..22140971,22141595..22141768,22141834..22144280,22145671..22146996,22154798..22155408,22156621..22156834);	4920	CG42748
CG42748-PE	2L:join(22153695..22153706,22154798..22155408,22156621..22156815,22158513..22158744);	1050	CG42748
CG42748-PF	2L:join(22153695..22153706,22154798..22155408,22156621..22156815,22158513..22158721,22160208..22160349,22161678..22161750);	1242	CG42748
CG42748-PH	2L:join(22153695..22153706,22154798..22155408,22156621..22156815,22158513..22158721,22161678..22162987);	2337	CG42748
CG42748-PG	2L:join(22140824..22140971,22141595..22141768,22141834..22144280,22145671..22146996,22154798..22155408,22156621..22156815,22158513..22158721,22161678..22162987);	6420	CG42748
CG42749-PD	X:join(5301348..5301404,5301465..5302059,5302121..5302271,5305879..5305995,5306077..5306194);	1038	CG42749
CG42749-PB	X:join(5301348..5301404,5301465..5302059,5302121..5302271,5302571..5302625);	858	CG42749
CG42750-PC	2L:complement(join(18161429..18161657,18163892..18163967,18164933..18165194,18187212..18187432,18192932..18193064,18200623..18200719,18200811..18200937,18201288..18201386,18203666..18204944,18209769..18210145,18210557..18210860));	3204	CG42750
CG42750-PB	2L:complement(join(18161429..18161657,18163892..18163967,18164933..18165194,18187212..18187432,18192932..18193064,18200623..18200719,18200811..18200937,18201288..18201386,18203666..18204944,18209769..18210148,18210557..18210860));	3207	CG42750
CG42751-PA	2L:join(11853513..11853517,11853592..11853718);	132	CG42751
CG42752-PA	2L:complement(18739518..18740006);	489	CG42752
CG42753-PA	2R:19635407..19635661;	255	CG42753
cu-PD	3R:join(11203118..11203785,11206906..11207138,11207193..11207255,11207360..11207481,11207549..11208181,11208247..11208456);	1929	cu
cu-PC	3R:join(11205586..11205674,11206906..11207138,11207193..11207255,11207360..11207481,11207549..11208181,11208247..11208456);	1350	cu
cu-PE	3R:join(11204752..11204831,11206906..11207138,11207193..11207255,11207360..11207481,11207549..11208181,11208247..11208456);	1341	cu
cu-PF	3R:join(11197784..11197848,11206906..11207138,11207193..11207255,11207360..11207481,11207549..11208181,11208247..11208456);	1326	cu
cu-PG	3R:join(11204752..11204831,11206521..11206625,11206906..11207138,11207193..11207255,11207360..11207481,11207549..11208181,11208247..11208456);	1446	cu
cu-PH	3R:join(11206907..11207138,11207193..11207255,11207360..11207481,11207549..11208181,11208247..11208456);	1260	cu
pico-PB	X:complement(join(19833339..19835566,19835644..19836520));	3105	pico
pico-PA	X:complement(join(19833339..19835566,19835644..19836754,19850863..19851012));	3489	pico
pico-PC	X:complement(join(19833339..19835566,19835644..19836754,19849942..19849944));	3342	pico
CG42758-PA	3L:14567683..14568057;	375	CG42758
CG42759-PA	3R:join(10143087..10143174,10143230..10143354);	213	CG42759
Bsg-PJ	2L:join(8089664..8089736,8105692..8105809,8106840..8107000,8107066..8107173,8107238..8107438,8107748..8107880,8109297..8109303);	801	Bsg
Bsg-PE	2L:join(8089664..8089736,8105692..8105809,8106840..8107000,8107066..8107173,8107238..8107438,8107748..8107884);	798	Bsg
Bsg-PG	2L:join(8089664..8089736,8102300..8102518,8102598..8103503,8105692..8105809,8106840..8107000,8107066..8107173,8107238..8107438,8107748..8107880,8110481..8110508);	1947	Bsg
Asx-PA	2R:join(14505247..14505482,14505551..14506481,14506542..14507145,14507257..14507349,14507416..14507481,14507540..14508312,14508386..14509783,14509840..14510160,14510223..14510463,14511005..14511351);	5010	Asx
Asx-PB	2R:join(14505247..14505482,14505551..14506481,14506542..14507145,14507257..14507349,14507416..14507481,14507540..14508312,14508386..14509783,14509840..14510160,14510223..14510483);	4683	Asx
Asx-PC	2R:join(14505247..14505482,14505551..14506481,14506542..14507145,14507257..14507349,14507413..14507481,14507540..14508312,14508386..14509783,14509840..14510160,14510223..14510463,14511005..14511351);	5013	Asx
Asx-PD	2R:join(14505247..14505482,14505551..14506481,14506542..14507145,14507257..14507349,14507540..14508312,14508386..14509783,14509840..14510160,14510223..14510483);	4617	Asx
CG42762-PA	2L:complement(join(8143488..8143934,8143989..8144027));	486	CG42762
CG42763-PA	2L:complement(join(8144456..8144980,8145038..8145088));	576	CG42763
CG42764-PA	3L:complement(join(20464759..20464993,20465050..20465351,20465412..20465540,20465621..20465653));	699	CG42764
CG42764-PB	3L:complement(join(20464759..20464993,20465050..20465351,20465412..20465540,20465881..20465904));	690	CG42764
CG42764-PC	3L:complement(join(20465406..20465540,20465621..20465653));	168	CG42764
CG42766-PA	X:join(15976983..15977093,15977155..15977316,15977423..15977446);	297	CG42766
CG42766-PB	X:join(15976983..15977093,15977155..15977340);	297	CG42766
Msp300-PJ	2L:join(5102798..5103596,5117577..5117638,5121676..5121948,5122196..5122249,5122435..5122601,5122661..5122937,5123016..5125622,5125828..5127057,5139359..5139673,5139779..5140921,5141653..5141890,5142003..5144785,5146993..5147298,5148731..5148882,5154248..5155217,5155322..5155534,5155589..5155849,5187607..5187717,5188117..5188281,5188342..5195460,5195979..5196284,5197867..5198124,5199343..5202302,5202765..5202803,5203116..5203742,5204451..5204592,5204836..5204903,5205104..5205347);	23889	Msp300
Msp300-PK	2L:join(5102798..5103596,5117577..5117638,5121676..5121948,5122435..5122601,5122661..5122937,5123016..5125622,5125828..5139015,5139359..5139673,5139779..5140921,5141653..5141890,5142003..5144785,5146993..5147298,5148731..5148882,5154248..5155217,5155322..5155534,5155589..5155849,5187607..5187717,5188117..5188281,5188342..5195460,5195979..5196284,5197867..5198124,5199343..5202302,5203116..5203742,5204451..5204592,5204836..5204903,5205104..5205347);	35754	Msp300
Msp300-PL	2L:join(5109146..5111021,5117577..5117638,5121676..5121948,5122435..5122601,5122661..5122937,5123016..5125622,5125828..5139015,5139359..5139673,5139779..5140921,5141311..5141517,5141653..5141890,5142003..5144785,5146993..5147298,5148731..5148882,5154248..5155217,5155322..5155534,5155589..5155849,5188117..5188281,5188342..5195460,5195979..5196284,5197867..5198124,5199343..5202302,5203116..5203742,5204451..5204592,5204836..5204903,5205104..5205347);	36927	Msp300
Msp300-PM	2L:join(5154579..5155217,5155322..5155534,5155589..5155849,5158455..5165399,5187607..5187717,5188117..5188281,5188342..5195460,5195979..5196284,5197867..5198124,5199343..5202302,5203116..5203742,5204451..5204592,5204836..5204903,5205104..5205347);	20058	Msp300
Msp300-PB	2L:join(5109146..5111021,5117577..5117638,5121676..5121948,5122435..5122601,5122661..5122937,5123016..5125622,5125828..5139015,5139359..5139673,5139779..5140921,5141311..5141517,5141653..5141890,5142003..5144785,5146993..5147298,5148731..5148882,5154248..5155217,5155322..5155534,5155589..5155849,5157874..5157984);	25149	Msp300
Msp300-PE	2L:join(5154579..5155217,5155322..5155534,5155589..5155849,5158455..5186162);	28821	Msp300
Msp300-PD	2L:join(5109146..5111021,5117577..5117638,5121676..5121948,5122435..5122601,5122661..5122937,5123016..5125622,5125828..5139015,5139359..5139673,5139779..5140921,5141311..5141517,5141653..5141890,5142003..5144785,5146993..5147298,5148731..5148882,5154248..5155217,5155322..5155534,5155589..5155849,5187607..5187717,5188117..5188281,5188342..5195460,5195979..5196284,5197867..5198124,5199343..5202302,5203116..5203742,5204451..5204592,5204836..5204903,5205104..5205347);	37038	Msp300
Msp300-PF	2L:join(5154579..5155217,5155322..5155534,5155589..5155849,5157874..5157984);	1224	Msp300
Msp300-PG	2L:join(5154579..5155217,5155322..5155534,5155589..5155849,5158455..5185964,5187607..5187717,5188117..5188281,5188342..5195460,5195979..5196284,5197867..5198124,5199343..5202302,5203116..5203742,5204451..5204592,5204836..5204903,5205104..5205347);	40623	Msp300
Msp300-PH	2L:join(5102798..5103596,5117577..5117638,5121676..5121948,5122435..5122601,5122661..5122937,5123016..5125622,5125828..5139015,5139359..5139673,5139779..5140921,5141311..5141517,5141653..5141890,5142003..5144785,5146993..5147298,5148731..5148882,5154248..5155217,5155322..5155534,5155589..5155849,5187607..5187717,5188117..5188281,5188342..5195460,5195979..5196284,5197867..5198124,5199343..5202302,5203116..5203742,5204451..5204592,5204836..5204903,5205104..5205347);	35961	Msp300
Msp300-PI	2L:join(5102798..5103596,5117577..5117638,5121676..5121948,5122435..5122601,5122661..5122937,5123016..5125622,5125828..5139015,5139359..5139673,5139779..5140921,5141311..5141517,5141653..5141890,5142003..5144785,5146993..5147298,5148731..5148882,5154248..5155217,5155322..5155534,5155589..5155849,5187607..5187717,5188117..5188281,5188342..5195460,5195979..5196284,5197867..5198124,5199343..5202302,5202765..5202803,5203116..5203742,5204451..5204592,5204836..5204903,5205104..5205347);	36000	Msp300
pre-mod(mdg4)-T-PB	3R:join(21360392..21360554,21360628..21361088);	624	pre
pre-mod(mdg4)-Z-PA	3R:join(21361400..21361610,21361670..21361830);	372	pre
pre-mod(mdg4)-Y-PA	3R:21366006..21366299;	294	pre
pre-mod(mdg4)-X-PA	3R:21366452..21366715;	264	pre
pre-mod(mdg4)-AD-PA	3R:21367365..21367688;	324	pre
pre-mod(mdg4)-AE-PA	3R:21366976..21367206;	231	pre
pre-mod(mdg4)-W-PA	3R:21367912..21368220;	309	pre
pre-mod(mdg4)-V-PA	3R:21368382..21368876;	495	pre
pre-mod(mdg4)-U-PA	3R:21369464..21369715;	252	pre
CG42778-PC	3R:complement(join(13528709..13528769,13528832..13528913,13528972..13529026));	198	CG42778
CG42779-PB	3R:17121593..17121778;	186	CG42779
CG42780-PA	X:complement(join(7331288..7331510,7331581..7332008,7332067..7332177));	762	CG42780
CG42780-PB	X:complement(join(7331288..7331510,7331581..7332011,7332067..7332177));	765	CG42780
CG42781-PA	X:complement(7382788..7382907);	120	CG42781
Xpd-PA	2R:join(21171062..21171066,21171121..21171578,21171631..21171761,21171824..21172044,21172104..21172485,21172544..21172825,21172889..21173167,21173527..21174078);	2310	Xpd
CG42782-PB	2R:complement(12419154..12419294);	141	CG42782
aPKC-PJ	2R:complement(join(14946516..14946603,14946704..14946819,14947642..14947836,14947894..14948850,14948917..14949002,14949374..14949424,14951635..14952589,14953087..14953515));	2877	aPKC
aPKC-PK	2R:complement(join(14946516..14946603,14946704..14946819,14947642..14947836,14947894..14948850,14948917..14949002,14949374..14949424,14949660..14949726));	1560	aPKC
aPKC-PL	2R:complement(join(14946064..14946417,14946477..14946603,14946704..14946819,14947642..14947836,14947894..14948850,14948917..14949002,14949374..14949424,14949559..14949577));	1905	aPKC
aPKC-PM	2R:complement(join(14946047..14946090,14946150..14946417,14946477..14946603,14946704..14946819,14947642..14947836,14947894..14948850,14948917..14949002,14949374..14949424,14949559..14949577));	1863	aPKC
aPKC-PB	2R:complement(join(14946516..14946603,14947179..14947300,14947642..14947836,14947894..14948850,14948917..14949002,14949374..14949424,14950687..14950768));	1581	aPKC
aPKC-PC	2R:complement(join(14946516..14946603,14946704..14946819,14947642..14947836,14947894..14948850,14948917..14949002,14949374..14949424,14961386..14961506,14961568..14961774));	1821	aPKC
aPKC-PD	2R:complement(join(14946516..14946603,14947179..14947300,14947642..14947836,14947894..14948850,14948917..14949002,14949374..14949424,14961386..14961506,14961568..14961774));	1827	aPKC
aPKC-PE	2R:complement(join(14946516..14946603,14946704..14946819,14947642..14947836,14947894..14948850,14948917..14949002,14949374..14949424,14950687..14950768));	1575	aPKC
aPKC-PF	2R:complement(join(14946516..14946603,14946704..14946819,14947642..14947836,14947894..14948850,14948917..14949002,14949374..14949424,14949559..14949577));	1512	aPKC
aPKC-PG	2R:complement(join(14946516..14946603,14946704..14946819,14947642..14947836,14947894..14948850,14948917..14949002,14949374..14949424,14951635..14952568,14953087..14953515));	2856	aPKC
aPKC-PI	2R:complement(join(14946777..14946819,14947179..14947300,14947642..14947836,14947894..14948850,14948917..14949002,14949374..14949424,14950687..14950768));	1536	aPKC
Mzt1-PA	3L:2389336..2389584;	249	Mzt1
CG42788-PC	3R:complement(join(15097628..15100188,15100246..15100423,15100489..15100638,15100737..15100881,15100946..15101205,15101283..15101531,15101593..15102028,15102088..15102204,15111593..15112176));	4680	CG42788
CG42788-PB	3R:complement(join(15097628..15100188,15100246..15100426,15100489..15100638,15100737..15100881,15100946..15101205,15101283..15101531,15101593..15102028,15102088..15102204,15111593..15112176));	4683	CG42788
CG42789-PB	3R:complement(join(26783769..26783887,26783951..26783981));	150	CG42789
whd-PB	2R:complement(join(10469763..10469885,10469946..10470305,10470368..10470749,10471214..10471273,10471618..10471956,10472016..10472215,10472475..10473212,10473269..10473409));	2343	whd
whd-PD	2R:complement(join(10469763..10469885,10469946..10470305,10470368..10470749,10471440..10471505,10471618..10471956,10472016..10472215,10472475..10473212,10473269..10473409));	2349	whd
dpr2-PF	2L:complement(join(10917750..10918018,10918114..10918211,10918745..10918988,10923147..10923279,10923593..10923670,10925239..10925510,10961086..10961224));	1233	dpr2
scaf6-PC	3L:complement(join(17041685..17042040,17042103..17042273,17042438..17042459));	549	scaf6
scaf6-PA	3L:complement(join(17036932..17037030,17037084..17037255,17037320..17037634,17037706..17037873,17037931..17038932,17038995..17039193,17039257..17039333,17039556..17039630,17040138..17040210,17040439..17040601,17041694..17042040,17042103..17042273,17042438..17042459));	2883	scaf6
scaf6-PE	3L:complement(join(17039578..17039630,17040439..17040601,17041694..17042040,17042103..17042273,17042438..17042459));	756	scaf6
sdt-PO	X:join(8181431..8181517,8191812..8191994,8192104..8192161,8204173..8204303,8210403..8210680,8223628..8223866,8223956..8224047,8224785..8226083,8227871..8228098,8235589..8235820,8235882..8237169,8237232..8237428,8237810..8237941,8238007..8238188,8238252..8238446);	4821	sdt
sdt-PP	X:join(8181431..8181517,8191812..8191994,8192104..8192161,8204173..8204303,8210403..8210680,8223628..8223866,8223956..8224047,8227871..8228098,8235589..8235820,8235882..8237169,8237232..8237428,8237810..8237941,8238007..8238188,8238252..8238446);	3522	sdt
sdt-PB	X:join(8223833..8223866,8223956..8224047,8224785..8226083,8227871..8228098,8235589..8235820,8235882..8237169,8237232..8237428,8237810..8237941,8238007..8238188,8238252..8238446);	3879	sdt
sdt-PG	X:join(8181431..8181517,8191812..8191994,8192104..8192161,8204173..8204303,8208797..8210038,8210403..8210680,8223628..8223866,8223956..8224047,8224785..8226083,8227871..8228098,8235589..8235820,8235882..8237169,8237232..8237428,8237810..8237941,8238007..8238188,8238252..8238446);	6063	sdt
sdt-PH	X:join(8217055..8217074,8223628..8223866,8223956..8224047,8227871..8228098,8235589..8235820,8235882..8237169,8237232..8237428,8237810..8237941,8238007..8238188,8238252..8238446);	2805	sdt
sdt-PD	X:join(8232493..8232906,8235589..8235820,8235882..8237169,8237232..8237428,8237810..8237941,8238007..8238188,8238252..8238446);	2640	sdt
sdt-PF	X:join(8223833..8223866,8223956..8224047,8227871..8228098,8235589..8235820,8235882..8237169,8237232..8237428,8237810..8237941,8238007..8238188,8238252..8238446);	2580	sdt
sdt-PE	X:join(8217055..8217074,8223628..8223866,8223956..8224047,8224785..8226083,8227871..8228098,8235589..8235820,8235882..8237169,8237232..8237428,8237810..8237941,8238007..8238188,8238252..8238446);	4104	sdt
sdt-PI	X:join(8217055..8217074,8223628..8223866,8223956..8224047,8225079..8226083,8227871..8228098,8235589..8235820,8235882..8237169,8237232..8237428,8237810..8237941,8238007..8238188,8238252..8238446);	3810	sdt
sdt-PJ	X:join(8181431..8181517,8191812..8191994,8192104..8192161,8204173..8204303,8210403..8210680,8223628..8223866,8223956..8224047,8225079..8226083,8227871..8228098,8235589..8235820,8235882..8237169,8237232..8237428,8237594..8237650,8237810..8237941,8238007..8238188,8238252..8238446);	4584	sdt
sdt-PL	X:join(8181431..8181517,8191812..8191994,8192104..8192161,8204173..8204303,8208797..8210038,8210403..8210680,8223628..8223866,8223956..8224047,8225079..8226083,8227871..8228098,8235589..8235820,8235882..8237169,8237232..8237428,8237594..8237650,8237810..8237941,8238007..8238188,8238252..8238446);	5826	sdt
sdt-PM	X:join(8181431..8181517,8191812..8191994,8192104..8192161,8204173..8204303,8208797..8210038,8210403..8210680,8223628..8223866,8223956..8224047,8224785..8225726,8227871..8228098,8235589..8235820,8235882..8237169,8237232..8237428,8237810..8237941,8238007..8238188,8238252..8238446);	5706	sdt
l(2)35Be-PA	2L:complement(join(15006645..15007156,15007206..15007341));	648	l(2)35Be
osa-PD	3R:complement(join(17689818..17693455,17693524..17693605,17693715..17693913,17694136..17694295,17694834..17695313,17695923..17696150,17696370..17696586,17697665..17697916,17697981..17698162,17698230..17698964,17699095..17699487,17699547..17699703,17707771..17707989,17708054..17708347,17715852..17716766));	8151	osa
osa-PA	3R:complement(join(17689818..17693455,17693524..17693605,17693715..17693913,17694136..17694295,17694834..17695313,17695923..17696111,17696370..17696586,17697665..17697916,17697981..17698162,17698230..17698964,17699095..17699487,17699547..17699703,17707771..17707989,17708054..17708347,17715852..17716766));	8112	osa
osa-PC	3R:complement(join(17689818..17693455,17693524..17693605,17693715..17693913,17694136..17694295,17695923..17696150,17696370..17696586,17697665..17697916,17697981..17698162,17698230..17698964,17699095..17699487,17699547..17699703,17707771..17707989,17708054..17708347,17715852..17716766));	7671	osa
osa-PE	3R:complement(join(17689818..17693455,17693524..17693605,17693715..17693913,17694136..17694295,17695923..17696150,17696370..17696586,17697665..17697913,17697981..17698162,17698230..17698964,17699095..17699487,17699547..17699703,17707771..17707989,17708054..17708347,17715852..17716766));	7668	osa
osa-PF	3R:complement(join(17689818..17693455,17693524..17693605,17693715..17693913,17694136..17694295,17695923..17696150,17696370..17696586,17697656..17697916,17697981..17698162,17698230..17698964,17699095..17699487,17699547..17699703,17707771..17707989,17708054..17708347,17715852..17716766));	7680	osa
CG42792-PB	2L:complement(join(15865092..15865250,15865316..15865423));	267	CG42792
CG42795-PE	3R:join(10225754..10225758,10225813..10226153,10239618..10239958,10240188..10240313,10240376..10240495,10240553..10240944,10241540..10241740,10241797..10248274,10248344..10248430,10248490..10249971);	9573	CG42795
CG42795-PF	3R:join(10225754..10225758,10225813..10226153,10239618..10239958,10240188..10240313,10240376..10240495,10240553..10240944,10241540..10241740,10241797..10248430,10248490..10248969,10250928..10251074);	8787	CG42795
CG42795-PG	3R:join(10225754..10225758,10225813..10226153,10239618..10239958,10240188..10240313,10240376..10240495,10240553..10240944,10241540..10241740,10241797..10248430,10248490..10249971);	9642	CG42795
CG42795-PA	3R:join(10225754..10225758,10225813..10226153,10239618..10239958,10240188..10240313,10240376..10240495,10240553..10240944,10241540..10241740,10241797..10248274,10248347..10248430,10248490..10249971);	9570	CG42795
CG42795-PB	3R:join(10239635..10239958,10240188..10240313,10240376..10240495,10240553..10240944,10241540..10241740,10241797..10248274,10248347..10248430,10248490..10249971);	9207	CG42795
CG42795-PC	3R:join(10225754..10225758,10225813..10226153,10239618..10239958,10240188..10240313,10240376..10240495,10240553..10240944,10241540..10241740,10241797..10248274,10248347..10248430,10248490..10248969,10250928..10251074);	8715	CG42795
5-HT2B-PE	3R:join(8591488..8591896,8619786..8620018,8620304..8620532,8622275..8622413,8622483..8622857,8625692..8627150);	2844	5
5-HT2B-PD	3R:join(8591488..8591896,8619786..8620018,8620304..8620532,8622275..8622413,8622483..8622857,8625692..8627021);	2715	5
vnd-PA	X:join(591395..591951,593648..594306,596356..597311);	2172	vnd
vnd-PB	X:join(582959..583077,593648..594306,596356..597311);	1734	vnd
CG42797-PF	X:join(9616575..9616615,9620343..9620531,9620593..9621667);	1305	CG42797
CG42797-PD	X:join(9609298..9609691,9609751..9612206,9612282..9612448,9620343..9620531,9620593..9621667);	4281	CG42797
CG42797-PC	X:join(9618136..9618182,9620343..9620531,9620593..9621667);	1311	CG42797
CG42797-PE	X:join(9609298..9609691,9609760..9612206,9612282..9612448,9620343..9620531,9620593..9621667);	4272	CG42797
CG42798-PB	3R:join(17407121..17407199,17407251..17407345);	174	CG42798
CG42798-PA	3R:join(17407001..17407199,17407251..17407345);	294	CG42798
SmD1-PA	3L:complement(join(12733623..12733983,12734503..12734516));	375	SmD1
dikar-PF	3L:complement(join(6730354..6733067,6733129..6737286,6737353..6737477,6737535..6738098,6738704..6739921,6740667..6740873,6740957..6741639,6741702..6741790,6741915..6741942));	9786	dikar
dikar-PB	3L:complement(join(6740645..6740873,6740957..6741639,6741702..6741790,6741915..6741942));	1029	dikar
dikar-PC	3L:complement(join(6730471..6733067,6733129..6737286,6737353..6737477,6737535..6737672,6738704..6739921,6740667..6740873,6740957..6741639,6741702..6741790,6741915..6741942));	9243	dikar
dikar-PD	3L:complement(join(6730471..6733067,6733129..6737286,6737353..6737477,6737535..6738098,6738704..6739921,6740667..6740873,6740957..6741639,6741702..6741790,6741915..6741942));	9669	dikar
mtRNApol-PB	2L:complement(join(1103691..1103820,1103879..1105101,1105159..1106298,1106356..1107106,1107161..1107316,1107373..1107757,1107812..1107949,1108016..1108202));	4110	mtRNApol
srw-PB	3L:complement(4283068..4283478);	411	srw
TfAP-2-PA	3L:join(21608336..21608380,21609419..21609649,21609719..21609886,21611143..21611350,21611995..21612184,21612245..21612509,21612613..21612780,21612844..21612954);	1386	TfAP
TfAP-2-PB	3L:join(21599282..21599338,21609419..21609649,21609719..21609886,21611143..21611350,21611995..21612184,21612245..21612509,21612613..21612780,21612844..21612954);	1398	TfAP
TfAP-2-PC	3L:join(21586858..21586896,21609419..21609649,21609719..21609886,21611143..21611350,21611995..21612184,21612245..21612509,21612613..21612780,21612844..21612954);	1380	TfAP
TfAP-2-PD	3L:join(21599282..21599338,21609419..21609649,21609701..21609886,21611143..21611350,21611995..21612184,21612245..21612509,21612613..21612780,21612844..21612954);	1416	TfAP
TfAP-2-PE	3L:join(21608336..21608380,21609419..21609649,21609701..21609886,21611143..21611350,21611995..21612184,21612245..21612509,21612613..21612780,21612844..21612954);	1404	TfAP
TfAP-2-PF	3L:join(21586858..21586896,21609419..21609649,21609701..21609886,21611143..21611350,21611995..21612184,21612245..21612509,21612613..21612780,21612844..21612954);	1398	TfAP
east-PE	X:join(2014522..2018004,2018080..2018209,2018705..2018938,2019058..2019506,2019568..2019737,2019848..2021117,2021172..2022464);	7029	east
east-PG	X:join(2014522..2018004,2018080..2018086,2018705..2018938,2019040..2019506,2019571..2019737,2019848..2021117,2021172..2022464);	6921	east
east-PC	X:join(2014522..2018004,2018080..2018086,2018705..2018938,2019058..2019506,2019568..2019737,2019848..2021117,2021172..2022464);	6906	east
kdn-PB	X:join(6350736..6350954,6358902..6359879,6359992..6360363);	1569	kdn
kdn-PA	X:join(6352437..6352481,6358902..6359879,6359992..6360363);	1395	kdn
mid-PB	2L:join(5461918..5462104,5463819..5464269,5465220..5465505,5465894..5466712);	1743	mid
CG42806-PB	2R:13964919..13965185;	267	CG42806
Psf2-PB	2L:complement(join(4386339..4386705,4386764..4387008));	612	Psf2
l(2)gd1-PA	2L:join(11107065..11107121,11107209..11108807,11108866..11109297,11109356..11109507,11110159..11110249,11110316..11110435);	2451	l(2)gd1
l(2)gd1-PB	2L:join(11107065..11107121,11107209..11108807,11108866..11109297,11109356..11109507,11110105..11110249,11110316..11110435);	2505	l(2)gd1
Ire1-PB	3R:complement(join(19854440..19855318,19855381..19855545,19855633..19856902,19856960..19857182,19857241..19857684,19860647..19860761,19860886..19861014));	3225	Ire1
Ptpmeg-PG	3L:join(351626..351778,352300..352407,352476..352568,352630..352771,352838..353687,353761..354446,354500..355124,355199..355376,355438..355527);	2925	Ptpmeg
RASSF8-PA	3R:join(25662415..25662486,25662634..25663007,25663150..25663870,25663938..25664248,25664310..25664655);	1824	RASSF8
Pxt-PB	3R:join(17719571..17719736,17720031..17720818,17720951..17721377,17721506..17721833,17721895..17722069,17722132..17722290,17722345..17722664,17722720..17722786);	2430	Pxt
Gprk2-PA	3R:join(31433837..31433888,31453311..31453406,31453466..31453586,31453651..31454256,31454395..31454500,31454575..31454764,31455207..31455455,31455528..31455685,31455744..31455953,31456048..31456311,31456374..31456466);	2145	Gprk2
